传感器技术,程控交换技术,数据库实用技术,电磁场理论,数字图像处理,移动通信,光纤通信,通信网原理,网络实用技术,网络信息安全
电子设计自动化,数据库实用技术,面向对象的程序设计,程控交换技术,网络信息安全,网络实用技术,通信网原理,移动通信,数字图像处理,语音信号处理
数据库实用技术,日语（一）,传感器技术,程控交换技术,Java Programming,网络实用技术,通信网原理,网络信息安全,移动通信,数字图像处理,语音信号处理
日语（一）,数据库实用技术,程控交换技术,面向对象的程序设计,网络信息安全,网络实用技术,通信网原理,光纤通信,移动通信,数字图像处理
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,光纤通信,通信网原理,网络信息安全,数字图像处理,移动通信,语音信号处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,面向对象的程序设计,网络信息安全,网络实用技术,光纤通信,移动通信,数字图像处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,光纤通信,通信网原理,网络实用技术,网络信息安全,数字图像处理,移动通信
数据库实用技术,日语（一）,程控交换技术,网络实用技术,通信网原理,网络信息安全,日语（2）,数字图像处理,移动通信
数据库实用技术,电磁场理论,程控交换技术,传感器技术,网络信息安全,网络实用技术,光纤通信,数字图像处理,移动通信,语音信号处理
电子设计自动化,数据库实用技术,日语（一）,面向对象的程序设计,光纤通信,网络实用技术,网络信息安全,Java Programming,移动通信,数字通信导论
数据库实用技术,电磁场理论,传感器技术,程控交换技术,网络实用技术,网络信息安全,光纤通信,数字图像处理,移动通信,语音信号处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,光纤通信,通信网原理,网络信息安全,数字图像处理,移动通信,语音信号处理
数据库实用技术,电磁场理论,程控交换技术,传感器技术,网络信息安全,网络实用技术,通信网原理,光纤通信,移动通信,数字图像处理
电子设计自动化,数据库实用技术,日语（一）,程控交换技术,网络实用技术,通信网原理,网络信息安全,日语（2）,移动通信,数字通信导论
电磁场理论,数据库实用技术,程控交换技术,传感器技术,网络信息安全,网络实用技术,光纤通信,移动通信,数字图像处理,语音信号处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,光纤通信,通信网原理,网络信息安全,移动通信,微波技术与天线,数字通信导论
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,通信网原理,网络实用技术,网络信息安全,光纤通信,移动通信,数字通信导论
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,Java Programming,网络实用技术,通信网原理,网络信息安全,移动通信,数字通信导论
电子设计自动化,数据库实用技术,日语（一）,程控交换技术,网络信息安全,通信网原理,光纤通信,日语（2）,移动通信,数字通信导论
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,Java Programming,光纤通信,网络实用技术,网络信息安全,移动通信,数字图像处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,网络信息安全,网络实用技术,通信网原理,光纤通信,数字图像处理,移动通信
电子设计自动化,电磁场理论,程控交换技术,传感器技术,光纤通信,网络实用技术,通信网原理,网络信息安全,移动通信,数字图像处理
电子设计自动化,电磁场理论,传感器技术,程控交换技术,网络信息安全,通信网原理,网络实用技术,光纤通信,数字图像处理,移动通信
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,光纤通信,网络实用技术,通信网原理,网络信息安全,移动通信,数字通信导论
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,网络信息安全,通信网原理,网络实用技术,光纤通信,移动通信,数字图像处理
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,光纤通信,网络实用技术,通信网原理,网络信息安全,移动通信,语音信号处理
数据库实用技术,日语（一）,传感器技术,程控交换技术,网络信息安全,网络实用技术,通信网原理,光纤通信,日语（2）,语音信号处理
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,光纤通信,通信网原理,网络实用技术,网络信息安全,数字图像处理,移动通信
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,网络信息安全,通信网原理,网络实用技术,光纤通信,移动通信,数字图像处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,光纤通信,网络信息安全,网络实用技术,通信网原理,数字图像处理,移动通信
电子设计自动化,数据库实用技术,面向对象的程序设计,程控交换技术,通信网原理,网络实用技术,网络信息安全,移动通信,数字图像处理,语音信号处理
电子设计自动化,日语（一）,程控交换技术,传感器技术,网络信息安全,网络实用技术,光纤通信,数字图像处理,移动通信,语音信号处理
电子设计自动化,日语（一）,传感器技术,程控交换技术,光纤通信,网络实用技术,网络信息安全,移动通信,数字图像处理,语音信号处理
电子设计自动化,数据库实用技术,程控交换技术,传感器技术,网络信息安全,网络实用技术,光纤通信,数字图像处理,移动通信,语音信号处理
电子设计自动化,日语（一）,传感器技术,程控交换技术,光纤通信,网络实用技术,网络信息安全,移动通信,数字图像处理,语音信号处理
电子设计自动化,传感器技术,程控交换技术,面向对象的程序设计,网络实用技术,网络信息安全,光纤通信,Java Programming,数字图像处理,移动通信
电子设计自动化,日语（一）,传感器技术,程控交换技术,光纤通信,网络信息安全,网络实用技术,移动通信,数字图像处理,语音信号处理
电子设计自动化,日语（一）,程控交换技术,传感器技术,网络实用技术,网络信息安全,光纤通信,数字图像处理,移动通信,语音信号处理
电子设计自动化
日语（一）,传感器技术,程控交换技术,光纤通信,网络实用技术,网络信息安全,移动通信,数字图像处理,语音信号处理
电子设计自动化,日语（一）,数据库实用技术,程控交换技术,传感器技术,网络信息安全,网络实用技术,日语（2）,数字图像处理,移动通信
电子设计自动化,数据库实用技术,程控交换技术,日语（2）,网络实用技术,通信网原理,网络信息安全,光纤通信,移动通信,数字图像处理
电子设计自动化,日语（一）,程控交换技术,传感器技术,光纤通信,网络实用技术,网络信息安全,数字图像处理,移动通信,语音信号处理
日语（一）,数据库实用技术,程控交换技术,传感器技术,光纤通信,日语（2）,数字图像处理,微波技术与天线,移动通信,语音信号处理
电子设计自动化,数据库实用技术,传感器技术,程控交换技术,网络信息安全,网络实用技术,光纤通信,数字图像处理,移动通信,数字通信导论,语音信号处理
电子设计自动化,日语（一）,程控交换技术,传感器技术,网络实用技术,网络信息安全,移动通信,数字图像处理,数字通信导论,语音信号处理
数据库实用技术,传感器技术,程控交换技术,网络实用技术,通信网原理,网络信息安全,光纤通信,移动通信,数字通信导论,语音信号处理
电子设计自动化,电磁场理论,数据库实用技术,程控交换技术,光纤通信,网络实用技术,网络信息安全,移动通信,数字图像处理,数字通信导论
电子设计自动化,数据库实用技术,电磁场理论,程控交换技术,网络实用技术,光纤通信,数字图像处理,移动通信,无线网络通信,数字通信导论
电子设计自动化,数据库实用技术,面向对象的程序设计,传感器技术,Java Programming,光纤通信,网络实用技术,无线网络通信,数字图像处理,语音信号处理
数据库实用技术,程控交换技术,通信网原理,光纤通信,日语（2）,移动通信,无线网络通信,数字通信导论,语音信号处理
数据库实用技术,电磁场理论,程控交换技术,光纤通信,网络信息安全,网络实用技术,数字图像处理,移动通信,数字通信导论,语音信号处理
电磁场理论,数据库实用技术,程控交换技术,网络实用技术,网络信息安全,光纤通信,移动通信,数字图像处理,数字通信导论,语音信号处理
数据库实用技术,电磁场理论,传感器技术,光纤通信,网络信息安全,数字图像处理,无线网络通信,移动通信,信息技术前沿讲座,语音信号处理
电子设计自动化,数据库实用技术,传感器技术,网络实用技术,网络信息安全,光纤通信,移动通信,数字图像处理,数字通信导论,信息技术前沿讲座,语音信号处理
数据库实用技术,电磁场理论,传感器技术,光纤通信,网络实用技术,网络信息安全,数字图像处理,移动通信,数字通信导论,语音信号处理
数据库实用技术,传感器技术,程控交换技术,网络实用技术,网络信息安全,光纤通信,移动通信,数字图像处理,数字通信导论,语音信号处理
数据库实用技术,电磁场理论,程控交换技术,光纤通信,通信网原理,网络信息安全,数字图像处理,移动通信,数字通信导论,语音信号处理
电子设计自动化,日语（一）,程控交换技术,传感器技术,Java Programming,网络实用技术,网络信息安全,光纤通信,移动通信,数字图像处理
日语（一）,数据库实用技术,传感器技术,程控交换技术,Java Programming,光纤通信,网络信息安全,网络实用技术,数字图像处理,移动通信
日语（一）,传感器技术,程控交换技术,Java Programming,网络信息安全,光纤通信,数字图像处理,移动通信,数字通信导论,语音信号处理
电子设计自动化,日语（一）,数据库实用技术,传感器技术,网络信息安全,网络实用技术,移动通信,数字图像处理,数字通信导论,语音信号处理
电子设计自动化,电磁场理论,传感器技术,程控交换技术,网络信息安全,通信网原理,光纤通信,数字图像处理,移动通信,语音信号处理
数据库实用技术,日语（一）,传感器技术,程控交换技术,Java Programming,光纤通信,网络信息安全,网络实用技术,数字图像处理,移动通信
电子设计自动化,日语（一）,数据库实用技术,传感器技术,Java Programming,网络实用技术,网络信息安全,移动通信,数字通信导论,语音信号处理
电子设计自动化,数据库实用技术,日语（一）,传感器技术,网络实用技术,网络信息安全,数字图像处理,移动通信,数字通信导论,语音信号处理
电子设计自动化,数据库实用技术,电磁场理论,面向对象的程序设计,网络实用技术,网络信息安全,光纤通信,移动通信,数字图像处理,语音信号处理
日语（一）,程控交换技术,传感器技术,光纤通信,网络信息安全,网络实用技术,通信网原理,无线网络通信,微波技术与天线,语音信号处理
日语（一）,传感器技术,程控交换技术,Java Programming,网络实用技术,日语（2）,数字图像处理,移动通信,数字通信导论,语音信号处理
