大学体育（1）良好,C语言程序设计良好,大学英语（1）良好,高等数学（1）优秀,信息技术导论及格,线性代数中等,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计及格
高等数学（1）不及格,大学英语（1）中等,信息技术导论及格,C语言程序设计良好,大学体育（1）中等,数字电路不及格,线性代数不及格,高等数学（1）及格,线性代数中等,数字电路及格,毛泽东思想和中国特色社会主义理论体系概论及格,概率统计中等
大学体育（1）中等,C语言程序设计良好,信息技术导论及格,大学英语（1）良好,高等数学（1）及格,线性代数及格,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计及格
高等数学（1）良好,大学英语（1）良好,信息技术导论中等,大学体育（1）中等,C语言程序设计中等,数字电路中等,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学英语（1）良好,高等数学（1）优秀,大学体育（1）良好,C语言程序设计良好,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
C语言程序设计良好,大学体育（1）良好,高等数学（1）良好,大学英语（1）中等,信息技术导论及格,线性代数及格,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学英语（1）良好,高等数学（1）优秀,信息技术导论中等,大学体育（1）中等,C语言程序设计优秀,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
C语言程序设计中等,大学体育（1）良好,信息技术导论及格,高等数学（1）及格,大学英语（1）中等,线性代数及格,数字电路不及格,数字电路及格,毛泽东思想和中国特色社会主义理论体系概论及格,概率统计及格
大学英语（1）中等,高等数学（1）良好,信息技术导论良好,大学体育（1）良好,C语言程序设计良好,数字电路良好,线性代数良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计中等
大学体育（1）良好,C语言程序设计良好,高等数学（1）良好,大学英语（1）中等,信息技术导论中等,线性代数良好,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计及格
大学英语（1）良好,高等数学（1）良好,信息技术导论中等,C语言程序设计优秀,大学体育（1）良好,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计及格
大学体育（1）良好,C语言程序设计良好,高等数学（1）中等,大学英语（1）良好,信息技术导论及格,线性代数及格,数字电路及格,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
信息技术导论良好,大学英语（1）中等,高等数学（1）优秀,C语言程序设计优秀,大学体育（1）良好,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
大学体育（1）良好,C语言程序设计优秀,高等数学（1）优秀,大学英语（1）良好,信息技术导论中等,线性代数良好,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计优秀
信息技术导论及格,大学英语（1）良好,高等数学（1）及格,C语言程序设计及格,大学体育（1）中等,数字电路及格,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计及格
大学体育（1）良好,C语言程序设计良好,高等数学（1）良好,大学英语（1）中等,信息技术导论中等,线性代数良好,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学英语（1）良好,高等数学（1）良好,信息技术导论良好,大学体育（1）中等,C语言程序设计优秀,数字电路优秀,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学体育（1）中等,C语言程序设计中等,信息技术导论及格,高等数学（1）中等,大学英语（1）中等,线性代数及格,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学英语（1）中等,高等数学（1）良好,信息技术导论中等,C语言程序设计良好,大学体育（1）良好,数字电路良好,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学体育（1）良好,C语言程序设计中等,信息技术导论及格,高等数学（1）良好,大学英语（1）中等,线性代数及格,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学英语（1）中等,高等数学（1）良好,信息技术导论中等,大学体育（1）不及格,C语言程序设计优秀,数字电路及格,线性代数不及格
高等数学（1）优秀,大学英语（1）中等,信息技术导论中等,C语言程序设计优秀,大学体育（1）良好,数字电路中等,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学体育（1）良好,C语言程序设计中等,大学英语（1）良好,高等数学（1）及格,信息技术导论及格,线性代数不及格,数字电路及格,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论及格,概率统计及格
信息技术导论中等,高等数学（1）优秀,大学英语（1）良好,C语言程序设计优秀,大学体育（1）良好,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学体育（1）良好,C语言程序设计良好,大学英语（1）优秀,高等数学（1）良好,信息技术导论良好,线性代数良好,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
高等数学（1）良好,大学英语（1）及格,信息技术导论及格,C语言程序设计良好,大学体育（1）良好,数字电路良好,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
大学体育（1）良好,C语言程序设计良好,信息技术导论良好,大学英语（1）良好,高等数学（1）良好,线性代数中等,数字电路优秀,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计中等
信息技术导论及格,高等数学（1）良好,大学英语（1）良好,大学体育（1）良好,C语言程序设计及格,数字电路良好,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计中等
C语言程序设计良好,大学体育（1）优秀,信息技术导论中等,大学英语（1）良好,高等数学（1）优秀,线性代数中等,数字电路优秀,毛泽东思想和中国特色社会主义理论体系概论优秀,概率统计良好
高等数学（1）良好,大学英语（1）中等,信息技术导论及格,大学体育（1）优秀,C语言程序设计良好,数字电路良好,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
大学体育（1）良好,C语言程序设计优秀,大学英语（1）优秀,高等数学（1）优秀,信息技术导论良好,线性代数及格,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计中等
高等数学（1）良好,大学英语（1）良好,信息技术导论中等,大学体育（1）良好,C语言程序设计良好,数字电路良好,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论优秀,概率统计良好
大学体育（1）良好,C语言程序设计中等,大学英语（1）良好,高等数学（1）及格,信息技术导论中等,线性代数中等,数字电路优秀,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
高等数学（1）中等,大学英语（1）中等,信息技术导论中等,大学体育（1）良好,C语言程序设计良好,数字电路中等,线性代数中等,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
C语言程序设计良好,大学体育（1）中等,信息技术导论中等,大学英语（1）良好,高等数学（1）中等,线性代数中等,数字电路中等,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
高等数学（1）良好,大学英语（1）良好,信息技术导论及格,大学体育（1）优秀,C语言程序设计良好,数字电路及格,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学体育（1）中等,C语言程序设计优秀,大学英语（1）良好,高等数学（1）良好,信息技术导论良好,线性代数良好,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计优秀
高等数学（1）优秀,大学英语（1）良好,信息技术导论中等,C语言程序设计良好,大学体育（1）良好,数字电路中等,线性代数良好,毛泽东思想和中国特色社会主义理论体系概论中等,概率统计良好
大学体育（1）良好,C语言程序设计良好,信息技术导论中等,大学英语（1）良好,高等数学（1）良好,线性代数中等,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
高等数学（1）及格,大学英语（1）良好,信息技术导论及格,大学体育（1）及格,C语言程序设计及格,数字电路及格,线性代数及格,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计及格
大学体育（1）良好,C语言程序设计良好,大学英语（1）良好,高等数学（1）良好,信息技术导论及格,线性代数中等,数字电路良好,毛泽东思想和中国特色社会主义理论体系概论良好,概率统计良好
